Brain Area,Analysis Type,Neuron,Test Accuracy,p value
PPC,GO,[7.5620181e+12],56.25,0.24
PPC,GO,[7.5620181e+12],37.5,0.889
PPC,GO,[7.5620181e+12],37.5,0.912
PPC,GO,[7.5620181e+12],43.75,0.854
PPC,GO,[7.5620181e+12],42.1875,0.886
PPC,GO,[7.5620181e+12],45.3125,0.769
PPC,GO,[7.5620181e+12],48.75,0.65
PPC,GO,[7.5620181e+12],53.75,0.248
PPC,GO,[7.5620181e+12],47.5,0.717
PPC,GO,[7.5620181e+12],58.75,0.06
PPC,GO,[7.5620181e+12],41.25,0.948
PPC,GO,[7.5620181e+12],51.25,0.425
PPC,GO,[7.5620181e+12],53.75,0.234
PPC,GO,[7.5620181e+12],45.833333333333336,0.697
PPC,GO,[7.5620181e+12],60.416666666666664,0.061
PPC,GO,[7.5620181e+12],52.083333333333336,0.391
PPC,GO,[7.5620181e+12],54.166666666666664,0.299
PPC,GO,[7.5620181e+12],47.916666666666664,0.625
PPC,GO,[7.5620181e+12],66.66666666666667,0.004
PPC,GO,[7.5620181e+12],47.916666666666664,0.58
PPC,GO,[7.5620181e+12],56.25,0.154
PPC,LICK,[5.8820181e+11],54.166666666666664,1.0
PPC,LICK,[5.8820181e+11],41.666666666666664,1.0
PPC,LICK,[5.8820181e+11],46.875,1.0
PPC,LICK,[5.8820181e+11],37.5,1.0
PPC,LICK,[5.8820181e+11],62.5,1.0
PPC,LICK,[5.8820181e+11],47.916666666666664,1.0
PPC,LICK,[5.8820181e+11],54.166666666666664,0.999
PPC,LICK,[5.8820181e+11],50.0,1.0
PPC,LICK,[5.8820181e+11],59.375,1.0
PPC,LICK,[5.8820181e+11],60.9375,1.0
PPC,LICK,[5.8820181e+11],50.0,1.0
PPC,LICK,[5.8820181e+11],57.8125,1.0
PPC,LICK,[5.8820181e+11],59.375,1.0
PPC,LICK,[5.8820181e+11],57.8125,1.0
PPC,LICK,[5.8820181e+11],40.625,0.997
PPC,LICK,[5.8820181e+11],48.4375,0.912
PPC,LICK,[5.8820181e+11],46.875,0.962
PPC,LICK,[5.8820181e+11],54.166666666666664,1.0
PPC,LICK,[5.8820181e+11],58.333333333333336,1.0
PPC,LICK,[5.8820181e+11],43.75,1.0
PPC,LICK,[5.8820181e+11],53.57142857142857,1.0
PPC,LICK,[5.8820181e+11],74.10714285714286,0.28
PPC,LICK,[7.5620181e+11],68.75,0.998
PPC,LICK,[7.5620181e+11],22.5,1.0
PPC,LICK,[7.5620181e+11],67.5,0.996
PPC,LICK,[7.5620181e+11],67.5,0.998
PPC,LICK,[7.5620181e+11],45.0,1.0
PPC,LICK,[7.5620181e+11],45.0,1.0
PPC,LICK,[7.5620181e+11],34.375,1.0
PPC,LICK,[7.5620181e+11],73.4375,0.999
PPC,LICK,[7.5620181e+11],37.5,1.0
PPC,LICK,[7.5620181e+11],57.8125,1.0
PPC,LICK,[7.5620181e+11],67.1875,1.0
PPC,LICK,[5.8820181e+12],70.83333333333333,0.952
PPC,LICK,[5.8820181e+12],34.375,1.0
PPC,LICK,[5.8820181e+12],55.208333333333336,1.0
PPC,LICK,[5.8820181e+12],61.458333333333336,1.0
PPC,LICK,[5.8820181e+12],80.20833333333333,0.17
PPC,LICK,[5.8820181e+12],55.208333333333336,1.0
PPC,LICK,[5.8820181e+12],45.833333333333336,1.0
PPC,LICK,[5.8820181e+12],46.875,1.0
PPC,LICK,[5.8820181e+12],63.541666666666664,0.999
PPC,LICK,[5.8820181e+12],67.70833333333333,0.993
PPC,LICK,[5.8820181e+12],45.833333333333336,1.0
PPC,LICK,[5.8820181e+12],46.875,1.0
PPC,LICK,[5.8820181e+12],21.875,1.0
PPC,LICK,[5.8820181e+12],87.5,0.033
PPC,LICK,[5.8820181e+12],40.625,1.0
PPC,LICK,[5.8820181e+12],71.875,0.992
PPC,LICK,[5.8820181e+12],71.875,0.996
PPC,LICK,[5.8820181e+12],73.4375,0.99
PPC,LICK,[5.8820181e+12],67.1875,0.999
PPC,LICK,[5.8820181e+12],51.5625,1.0
PPC,LICK,[5.8820181e+12],54.6875,1.0
PPC,LICK,[5.8820181e+12],51.5625,1.0
PPC,LICK,[5.8820181e+12],42.1875,1.0
PPC,LICK,[5.8820181e+12],68.75,1.0
PPC,LICK,[5.8820181e+12],59.375,1.0
PPC,LICK,[5.8820181e+12],54.6875,1.0
PPC,LICK,[5.8820181e+12],57.8125,1.0
PPC,LICK,[5.8820181e+12],39.0625,1.0
PPC,LICK,[5.8820181e+12],65.625,1.0
PPC,LICK,[5.8820181e+12],68.75,1.0
PPC,LICK,[5.8820181e+12],57.8125,1.0
PPC,LICK,[5.8820181e+12],53.125,1.0
PPC,LICK,[5.8820181e+12],68.75,0.999
PPC,LICK,[5.8820181e+12],81.25,0.643
PPC,LICK,[5.8820181e+12],58.333333333333336,1.0
PPC,LICK,[5.8820181e+12],34.82142857142857,1.0
PPC,LICK,[7.5620181e+12],46.25,1.0
PPC,LICK,[7.5620181e+12],75.0,0.776
PPC,LICK,[7.5620181e+12],55.0,1.0
PPC,LICK,[7.5620181e+12],57.5,1.0
PPC,LICK,[7.5620181e+12],63.75,1.0
PPC,LICK,[7.5620181e+12],63.75,1.0
PPC,LICK,[7.5620181e+12],51.5625,1.0
PPC,LICK,[7.5620181e+12],93.75,0.463
PPC,LICK,[7.5620181e+12],64.58333333333333,1.0
PPC,LICK,[7.5620181e+12],70.83333333333333,1.0
PPC,LICK,[7.5620181e+12],70.83333333333333,1.0
PPC,LICK,[7.5620181e+12],75.0,1.0
PPC,LICK,[7.5620181e+12],83.33333333333333,1.0
PPC,LICK,[7.5620181e+12],62.5,1.0
PPC,LICK,[7.5620181e+12],53.125,1.0
PPC,LICK,[7.5620181e+12],54.6875,1.0
