Brain Area,Window Size,Window Start,Session,Train Accuracy,Test Accuracy
S1,8,0,0301_20180323,"[56.08108108108108, 58.78378378378378, 60.810810810810814, 60.810810810810814, 61.486486486486484, 62.16216216216216, 62.16216216216216, 62.83783783783784, 62.83783783783784, 64.86486486486487, 66.21621621621621, 67.56756756756756, 67.56756756756756, 68.91891891891892, 70.27027027027027, 69.5945945945946, 70.94594594594595, 71.62162162162163, 72.97297297297297, 73.64864864864865, 72.97297297297297, 75.0, 77.02702702702703, 77.70270270270271, 76.35135135135135, 76.35135135135135, 75.67567567567568, 75.67567567567568, 75.67567567567568, 76.35135135135135, 77.70270270270271, 76.35135135135135, 77.70270270270271, 76.35135135135135, 77.70270270270271, 79.72972972972973, 79.72972972972973, 78.37837837837837, 79.72972972972973, 80.4054054054054, 79.72972972972973, 79.05405405405405, 79.72972972972973, 79.72972972972973, 79.72972972972973, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.08108108108108, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 82.43243243243244, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 82.43243243243244, 81.08108108108108, 81.08108108108108, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 81.75675675675676, 81.75675675675676, 83.10810810810811, 83.10810810810811, 83.10810810810811, 82.43243243243244, 82.43243243243244, 82.43243243243244, 83.10810810810811, 83.10810810810811, 81.75675675675676, 82.43243243243244, 81.75675675675676, 82.43243243243244, 82.43243243243244, 82.43243243243244, 83.10810810810811, 83.10810810810811, 83.10810810810811, 83.10810810810811, 83.10810810810811, 81.75675675675676, 81.75675675675676, 82.43243243243244, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676]",40.54054054054054
S1,8,1,0301_20180323,"[52.027027027027025, 56.75675675675676, 59.45945945945946, 60.810810810810814, 58.78378378378378, 59.45945945945946, 62.16216216216216, 62.83783783783784, 61.486486486486484, 66.21621621621621, 65.54054054054055, 62.83783783783784, 63.513513513513516, 64.86486486486487, 67.56756756756756, 66.89189189189189, 69.5945945945946, 70.27027027027027, 74.32432432432432, 76.35135135135135, 76.35135135135135, 77.70270270270271, 77.70270270270271, 78.37837837837837, 79.72972972972973, 77.70270270270271, 78.37837837837837, 79.72972972972973, 80.4054054054054, 79.72972972972973, 79.72972972972973, 80.4054054054054, 81.75675675675676, 81.75675675675676, 80.4054054054054, 80.4054054054054, 80.4054054054054, 81.75675675675676, 82.43243243243244, 82.43243243243244, 83.78378378378379, 83.78378378378379, 83.78378378378379, 83.78378378378379, 83.78378378378379, 84.45945945945945, 85.13513513513513, 83.78378378378379, 83.78378378378379, 84.45945945945945, 85.13513513513513, 85.13513513513513, 85.8108108108108, 85.8108108108108, 85.8108108108108, 85.8108108108108, 85.13513513513513, 85.8108108108108, 85.8108108108108, 85.8108108108108, 86.48648648648648, 86.48648648648648, 86.48648648648648, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.16216216216216, 86.48648648648648, 87.16216216216216, 86.48648648648648, 87.16216216216216, 87.16216216216216, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.83783783783784, 87.16216216216216, 87.16216216216216, 87.16216216216216, 87.83783783783784, 87.16216216216216, 87.16216216216216, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648, 86.48648648648648]",51.351351351351354
S1,8,2,0301_20180323,"[53.37837837837838, 53.37837837837838, 57.432432432432435, 56.75675675675676, 58.108108108108105, 61.486486486486484, 58.78378378378378, 59.45945945945946, 62.83783783783784, 65.54054054054055, 66.21621621621621, 68.91891891891892, 70.94594594594595, 72.29729729729729, 70.27027027027027, 70.94594594594595, 70.27027027027027, 70.27027027027027, 68.91891891891892, 72.97297297297297, 76.35135135135135, 75.0, 73.64864864864865, 73.64864864864865, 72.97297297297297, 73.64864864864865, 72.29729729729729, 70.94594594594595, 74.32432432432432, 73.64864864864865, 75.0, 75.67567567567568, 75.67567567567568, 76.35135135135135, 75.67567567567568, 75.0, 76.35135135135135, 75.0, 78.37837837837837, 78.37837837837837, 78.37837837837837, 78.37837837837837, 79.05405405405405, 79.05405405405405, 78.37837837837837, 77.70270270270271, 78.37837837837837, 77.70270270270271, 79.72972972972973, 79.72972972972973, 80.4054054054054, 80.4054054054054, 79.05405405405405, 79.72972972972973, 79.72972972972973, 79.72972972972973, 79.05405405405405, 80.4054054054054, 79.72972972972973, 79.72972972972973, 79.72972972972973, 79.72972972972973, 79.72972972972973, 79.72972972972973, 79.05405405405405, 79.72972972972973, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.72972972972973, 79.05405405405405, 80.4054054054054, 80.4054054054054, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.72972972972973, 79.05405405405405, 79.05405405405405, 79.72972972972973, 79.05405405405405, 79.72972972972973, 79.72972972972973, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405, 79.05405405405405]",56.75675675675676
S1,8,3,0301_20180323,"[52.7027027027027, 59.45945945945946, 58.78378378378378, 61.486486486486484, 59.45945945945946, 59.45945945945946, 62.16216216216216, 60.810810810810814, 61.486486486486484, 61.486486486486484, 62.83783783783784, 64.1891891891892, 66.21621621621621, 69.5945945945946, 69.5945945945946, 70.94594594594595, 71.62162162162163, 68.24324324324324, 72.97297297297297, 72.97297297297297, 75.0, 76.35135135135135, 77.02702702702703, 76.35135135135135, 78.37837837837837, 78.37837837837837, 78.37837837837837, 79.05405405405405, 77.70270270270271, 77.70270270270271, 79.72972972972973, 82.43243243243244, 81.08108108108108, 83.10810810810811, 79.72972972972973, 83.78378378378379, 81.75675675675676, 82.43243243243244, 81.75675675675676, 82.43243243243244, 80.4054054054054, 80.4054054054054, 80.4054054054054, 81.08108108108108, 80.4054054054054, 79.72972972972973, 80.4054054054054, 79.72972972972973, 79.72972972972973, 81.08108108108108, 79.72972972972973, 80.4054054054054, 80.4054054054054, 80.4054054054054, 79.72972972972973, 80.4054054054054, 80.4054054054054, 81.75675675675676, 81.75675675675676, 81.75675675675676, 80.4054054054054, 81.08108108108108, 81.75675675675676, 80.4054054054054, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 82.43243243243244, 82.43243243243244, 81.08108108108108, 82.43243243243244, 82.43243243243244, 81.75675675675676, 81.75675675675676, 82.43243243243244, 83.78378378378379, 83.10810810810811, 82.43243243243244, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 82.43243243243244, 82.43243243243244, 81.75675675675676, 82.43243243243244, 81.75675675675676, 81.75675675675676, 83.10810810810811, 83.78378378378379, 83.78378378378379, 83.78378378378379, 83.78378378378379, 83.78378378378379, 83.10810810810811, 83.10810810810811, 83.10810810810811, 83.10810810810811, 81.75675675675676, 81.75675675675676]",45.945945945945944
S1,8,4,0301_20180323,"[53.37837837837838, 53.37837837837838, 56.08108108108108, 54.729729729729726, 58.108108108108105, 58.108108108108105, 56.75675675675676, 58.108108108108105, 57.432432432432435, 57.432432432432435, 59.45945945945946, 60.13513513513514, 60.13513513513514, 60.810810810810814, 64.1891891891892, 60.13513513513514, 60.810810810810814, 62.16216216216216, 60.810810810810814, 62.83783783783784, 63.513513513513516, 66.89189189189189, 66.21621621621621, 66.21621621621621, 66.89189189189189, 67.56756756756756, 68.91891891891892, 70.94594594594595, 70.27027027027027, 71.62162162162163, 72.29729729729729, 72.29729729729729, 72.29729729729729, 73.64864864864865, 72.97297297297297, 76.35135135135135, 74.32432432432432, 73.64864864864865, 72.97297297297297, 74.32432432432432, 75.0, 74.32432432432432, 75.0, 75.67567567567568, 75.0, 75.0, 75.0, 75.67567567567568, 76.35135135135135, 77.02702702702703, 77.70270270270271, 77.02702702702703, 77.70270270270271, 77.02702702702703, 77.02702702702703, 79.05405405405405, 79.05405405405405, 78.37837837837837, 79.05405405405405, 80.4054054054054, 81.08108108108108, 79.72972972972973, 79.05405405405405, 79.05405405405405, 80.4054054054054, 79.72972972972973, 79.72972972972973, 80.4054054054054, 80.4054054054054, 81.75675675675676, 82.43243243243244, 80.4054054054054, 79.72972972972973, 80.4054054054054, 80.4054054054054, 80.4054054054054, 80.4054054054054, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676]",54.054054054054056
S1,8,5,0301_20180323,"[48.648648648648646, 51.351351351351354, 55.4054054054054, 56.08108108108108, 60.13513513513514, 61.486486486486484, 60.13513513513514, 61.486486486486484, 58.78378378378378, 65.54054054054055, 62.83783783783784, 65.54054054054055, 65.54054054054055, 66.21621621621621, 71.62162162162163, 70.94594594594595, 71.62162162162163, 72.97297297297297, 79.05405405405405, 72.29729729729729, 77.70270270270271, 78.37837837837837, 75.67567567567568, 77.70270270270271, 77.02702702702703, 79.72972972972973, 77.02702702702703, 78.37837837837837, 78.37837837837837, 78.37837837837837, 79.72972972972973, 79.05405405405405, 79.72972972972973, 78.37837837837837, 77.70270270270271, 77.02702702702703, 77.70270270270271, 79.05405405405405, 78.37837837837837, 81.08108108108108, 81.08108108108108, 80.4054054054054, 81.08108108108108, 81.75675675675676, 79.72972972972973, 80.4054054054054, 79.72972972972973, 79.72972972972973, 77.70270270270271, 80.4054054054054, 81.75675675675676, 81.75675675675676, 79.72972972972973, 80.4054054054054, 81.08108108108108, 80.4054054054054, 81.08108108108108, 80.4054054054054, 80.4054054054054, 79.72972972972973, 81.08108108108108, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 80.4054054054054, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 81.75675675675676, 81.75675675675676, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 83.10810810810811]",54.054054054054056
S1,8,6,0301_20180323,"[53.37837837837838, 54.054054054054056, 59.45945945945946, 54.729729729729726, 59.45945945945946, 60.13513513513514, 60.13513513513514, 60.810810810810814, 66.21621621621621, 67.56756756756756, 68.91891891891892, 68.91891891891892, 71.62162162162163, 75.67567567567568, 74.32432432432432, 73.64864864864865, 74.32432432432432, 75.67567567567568, 77.70270270270271, 75.67567567567568, 79.05405405405405, 78.37837837837837, 78.37837837837837, 77.70270270270271, 77.02702702702703, 78.37837837837837, 79.72972972972973, 79.72972972972973, 77.70270270270271, 77.02702702702703, 78.37837837837837, 79.05405405405405, 79.72972972972973, 79.72972972972973, 80.4054054054054, 79.72972972972973, 80.4054054054054, 81.08108108108108, 80.4054054054054, 81.75675675675676, 80.4054054054054, 79.05405405405405, 79.72972972972973, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 80.4054054054054, 80.4054054054054, 81.08108108108108, 81.08108108108108, 80.4054054054054, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676]",48.648648648648646
S1,8,7,0301_20180323,"[54.054054054054056, 49.32432432432432, 55.4054054054054, 57.432432432432435, 57.432432432432435, 58.78378378378378, 58.78378378378378, 60.13513513513514, 60.13513513513514, 62.83783783783784, 64.1891891891892, 64.1891891891892, 65.54054054054055, 69.5945945945946, 70.27027027027027, 72.29729729729729, 75.0, 75.0, 75.67567567567568, 77.02702702702703, 77.02702702702703, 77.70270270270271, 77.02702702702703, 77.02702702702703, 76.35135135135135, 78.37837837837837, 78.37837837837837, 78.37837837837837, 79.05405405405405, 79.72972972972973, 79.05405405405405, 79.72972972972973, 80.4054054054054, 79.72972972972973, 80.4054054054054, 79.72972972972973, 81.75675675675676, 79.05405405405405, 76.35135135135135, 76.35135135135135, 77.70270270270271, 79.05405405405405, 80.4054054054054, 81.75675675675676, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 82.43243243243244, 82.43243243243244, 81.75675675675676, 82.43243243243244, 81.75675675675676, 81.75675675675676, 82.43243243243244, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 83.10810810810811, 82.43243243243244, 82.43243243243244, 83.10810810810811, 82.43243243243244, 83.10810810810811, 82.43243243243244, 83.10810810810811, 82.43243243243244, 82.43243243243244, 82.43243243243244, 83.10810810810811, 83.10810810810811, 82.43243243243244, 82.43243243243244, 82.43243243243244, 83.78378378378379]",54.054054054054056
S1,8,8,0301_20180323,"[48.648648648648646, 57.432432432432435, 58.78378378378378, 61.486486486486484, 57.432432432432435, 58.108108108108105, 58.78378378378378, 60.810810810810814, 61.486486486486484, 60.13513513513514, 62.83783783783784, 63.513513513513516, 63.513513513513516, 60.810810810810814, 63.513513513513516, 64.1891891891892, 63.513513513513516, 64.86486486486487, 66.21621621621621, 68.91891891891892, 70.27027027027027, 70.94594594594595, 71.62162162162163, 71.62162162162163, 73.64864864864865, 74.32432432432432, 73.64864864864865, 77.70270270270271, 77.70270270270271, 76.35135135135135, 75.67567567567568, 78.37837837837837, 76.35135135135135, 75.67567567567568, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 78.37837837837837, 80.4054054054054, 79.05405405405405, 80.4054054054054, 79.72972972972973, 77.70270270270271, 79.05405405405405, 78.37837837837837, 77.70270270270271, 77.70270270270271, 79.05405405405405, 79.05405405405405, 80.4054054054054, 81.08108108108108, 79.72972972972973, 80.4054054054054, 79.72972972972973, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 81.75675675675676, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.08108108108108, 81.08108108108108, 81.08108108108108, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 82.43243243243244, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676, 81.75675675675676]",48.648648648648646
S1,8,9,0301_20180323,"[46.62162162162162, 39.189189189189186, 49.32432432432432, 53.37837837837838, 53.37837837837838, 53.37837837837838, 58.108108108108105, 58.108108108108105, 60.13513513513514, 59.45945945945946, 60.13513513513514, 63.513513513513516, 61.486486486486484, 62.83783783783784, 64.1891891891892, 66.21621621621621, 65.54054054054055, 65.54054054054055, 64.86486486486487, 69.5945945945946, 70.27027027027027, 71.62162162162163, 73.64864864864865, 71.62162162162163, 72.29729729729729, 71.62162162162163, 72.29729729729729, 71.62162162162163, 72.29729729729729, 72.29729729729729, 72.29729729729729, 71.62162162162163, 72.97297297297297, 71.62162162162163, 72.29729729729729, 72.29729729729729, 72.29729729729729, 70.27027027027027, 72.29729729729729, 73.64864864864865, 74.32432432432432, 73.64864864864865, 74.32432432432432, 75.0, 74.32432432432432, 75.67567567567568, 75.0, 72.29729729729729, 73.64864864864865, 75.0, 75.0, 72.97297297297297, 73.64864864864865, 76.35135135135135, 76.35135135135135, 77.02702702702703, 76.35135135135135, 75.67567567567568, 77.02702702702703, 78.37837837837837, 77.02702702702703, 77.02702702702703, 76.35135135135135, 75.67567567567568, 76.35135135135135, 77.02702702702703, 77.70270270270271, 77.70270270270271, 77.02702702702703, 75.67567567567568, 75.67567567567568, 76.35135135135135, 77.02702702702703, 76.35135135135135, 77.70270270270271, 77.02702702702703, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 78.37837837837837, 77.70270270270271, 77.70270270270271, 77.70270270270271, 78.37837837837837, 78.37837837837837, 78.37837837837837, 78.37837837837837, 78.37837837837837, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271, 77.70270270270271]",48.648648648648646
