# Expt,Accuracy,Rank
12182019071215.0,0.4521739130434782,5.0
12182019071218.0,0.582608695652174,93.0
12182019071219.0,0.5913043478260869,92.5
12182019071209.0,0.6086956521739131,97.0
12182019071514.0,0.6,99.0
12182019071515.0,0.4826086956521739,29.0
12182019071518.0,0.6086956521739131,100.0
12182019071522.0,0.5869565217391305,97.0
12182019071529.0,0.4826086956521739,28.0
12182019071530.0,0.5217391304347826,53.5
12182019071542.0,0.45652173913043476,5.5
12182019071543.0,0.5217391304347826,60.5
12182019071548.0,0.5260869565217391,62.0
12182019071549.0,0.5434782608695652,74.5
12182019071550.0,0.5695652173913043,93.0
12182019071576.0,0.5173913043478261,63.0
12182019071508.0,0.517391304347826,60.0
12182019071509.0,0.5086956521739131,46.5
12602019081610.0,0.5411764705882354,57.0
12602019081611.0,0.4,2.0
12602019081612.0,0.6117647058823529,88.0
12602019081614.0,0.48235294117647065,21.5
12602019081615.0,0.47058823529411764,18.0
12602019081616.0,0.5529411764705883,63.0
12602019081618.0,0.6,85.5
12602019081620.0,0.6235294117647059,93.0
12602019081623.0,0.5764705882352941,68.5
12602019081625.0,0.5529411764705883,64.5
12602019081626.0,0.5294117647058824,53.0
12602019081627.0,0.48235294117647065,28.0
12602019081628.0,0.5647058823529412,72.5
12602019081629.0,0.5764705882352942,80.0
12602019081630.0,0.5176470588235295,34.0
12602019081631.0,0.5176470588235293,39.5
12602019081632.0,0.5411764705882354,57.0
12602019081634.0,0.4470588235294118,10.0
12602019081636.0,0.5411764705882354,59.5
12602019081639.0,0.49411764705882355,29.5
12602019081604.0,0.5764705882352942,84.0
12602019081640.0,0.5529411764705883,64.5
12602019081647.0,0.5058823529411764,27.5
12602019081650.0,0.5176470588235295,46.5
12602019081651.0,0.5882352941176471,80.0
12602019081652.0,0.4470588235294118,8.5
12602019081653.0,0.49411764705882355,22.0
12602019081654.0,0.6588235294117647,99.0
12602019081655.0,0.5647058823529412,81.0
12602019081658.0,0.5294117647058824,50.0
12602019081606.0,0.5529411764705883,63.0
12602019081660.0,0.4470588235294118,8.0
12602019081663.0,0.5764705882352942,82.0
12602019081668.0,0.611764705882353,94.0
12602019081670.0,0.5647058823529412,64.5
12602019081609.0,0.4352941176470589,12.0
12602019081698.0,0.5058823529411764,30.0
12682019081311.0,0.509090909090909,40.5
126820190813123.0,0.4909090909090909,20.0
12682019081313.0,0.4909090909090909,25.0
12682019081315.0,0.41818181818181815,4.5
12682019081322.0,0.6000000000000001,86.0
12682019081323.0,0.41818181818181815,3.0
12682019081329.0,0.6,82.5
12682019081331.0,0.5454545454545454,51.0
12682019081332.0,0.6545454545454545,92.5
12682019081340.0,0.47272727272727266,20.0
